code,product_name,brands,categories,additives_tags,allergens_tags,ingredients_text,nutrition_grades,image_url,energy_100g,proteins_100g,carbohydrates_100g,sugars_100g,fat_100g,saturated-fat_100g,salt_100g,fiber_100g,additives_count,allergens_count,nutrient_score
8904004400939,haldirams mixture 200 gram,Haldiram,Fried snack,"['en:e141', 'en:e330']","['en:milk', 'en:nuts', 'en:peanuts', 'en:soybeans']","Split Pulse Bengal Gram (Chana Dal), Refined Palmolein Oil, Bengal Gram Flour (Besan) (10%), Red Lentils (Masur Whole) (8%), Groundnut (Peanuts) (7%), Potato, Rice Flakes, Spinach, Edible Common Salt, Red Chilli Powder, Acidity Regulator (INS 330), Black Salt, Black Pepper, Pipal, Coriander Powder, Dried Ginger Powder, Clove Powder, Cumin Powder, Nutmeg, Bay Leaf, Turmeric Powder, Dried Mango Powder, Fennel Seed, Cinnamon, Garlic Powder, Hydrolysed Vegetable Protein (Soya), Colour (INS 141) & Asafoetida. Allergen: Contains Peanuts & Soy May Contains Wheat, Almond, Cashew, Milk, Sesame Seed & Mustard Seed",d,https://images.openfoodfacts.org/images/products/890/400/440/0939/front_en.3.400.jpg,2236.0,15.81,45.11,0.0,3227.0,13.2,0.675,4.22,2.0,4.0,5.0
8904004400861,"Nagpur, Maharashtra,",Haldiram,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/400/440/0861/front_en.4.400.jpg,2205.0,15.1,50.53,,28.27,10.07,,,,0.0,5.0
8906010500290,Shing Bhujia,Balaji,namkeen,['en:e330'],['en:peanuts'],"PEANUT (63%), CHICKPEA FLOUR (13%), EDIBLE VEGETABLE OIL (PALMOLEIN RICE BRAN), CORN FLOUR, BLACK GRAM FLOUR, SPICES & CONDIMENTS 2% (CHILLI, BLACK PEPPER, GINGER, DRY MANGO, CLOVE, CAROM SEEDS, TAMARIND), EDIBLE COMMON SALT, ACIDITY REGULATOR (INS 330).",e,https://images.openfoodfacts.org/images/products/890/601/050/0290/front_en.3.400.jpg,2678.0,20.3,26.5,2.0,47.4,12.0,1.995,,1.0,1.0,4.0
8908021946029,Hydros,Hydros,Beverages and beverages preparations,[],[],Treated Water,b,https://images.openfoodfacts.org/images/products/890/802/194/6029/front_en.4.400.jpg,,,,,,,,,0.0,0.0,5.0
8000500257173,,Tic Tac,,,[],,unknown,https://images.openfoodfacts.org/images/products/800/050/025/7173/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8901652141344,,,,,,,,https://images.openfoodfacts.org/images/products/890/165/214/1344/front_en.3.400.jpg,,,,,,,,,,,5.0
8904327600436,,,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/432/760/0436/front_en.4.400.jpg,,,,,,,,,,0.0,5.0
8904145911400,,,,,,,,https://images.openfoodfacts.org/images/products/890/414/591/1400/front_en.3.400.jpg,,,,,,,,,,,5.0
8901296026267,,,,,,,,https://images.openfoodfacts.org/images/products/890/129/602/6267/front_en.6.400.jpg,,,,,,,,,,,5.0
8901719130243,,Parle,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/171/913/0243/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8908001246224,,,,,,,,https://images.openfoodfacts.org/images/products/890/800/124/6224/front_en.3.400.jpg,,,,,,,,,,,5.0
8901042971551,8901042971551,,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/104/297/1551/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8901262201001,Amul Spiced Buttermilk,Amul,Dairies,[],['en:milk'],"Milk solids, iodized salt,spices&condiments, stabilizer.",unknown,https://images.openfoodfacts.org/images/products/890/126/220/1001/front_en.3.400.jpg,,,,,,,,,0.0,1.0,5.0
8908004099025,Sunrich Aqua Packaged Drinking water,Sunrich Aqua,Drinking water,[],[],"TREATED WATER, MINERALS (SODUM BICARBONATE POTASSIUM BICARBONATE, CALCIUM CHLORIDE & MAGNESIUM SULPHATE)",unknown,https://images.openfoodfacts.org/images/products/890/800/409/9025/front_en.3.400.jpg,,,,,,,,,0.0,0.0,5.0
8908006107537,,,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/800/610/7537/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8904221699178,,,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/422/169/9178/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8906165781995,FuelOne Whey Max,FuelOne,Dietary supplements,"['en:e322', 'en:e322i', 'en:e415', 'en:e551', 'en:e955']",['en:milk'],"Whey Protein Concentrate, Whey Protein Isolate, Cocoa Powder, Nature Identical Flavouring Substances, Emulsifier (INS 322 (i)), Sodium Chloride, Proprietary Enzyme Blend, Sweetener (INS 955), Stabilizer (INS 415) & Anticaking Agent (INS 551).",not-applicable,https://images.openfoodfacts.org/images/products/890/616/578/1995/front_en.16.400.jpg,1690.0,75.0,12.8,6.5,5.69,2.97,,,5.0,1.0,6.0
8906081123619,Californian Almonds,Happilo,Nuts and their products,[],['en:nuts'],Almonds,a,https://images.openfoodfacts.org/images/products/890/608/112/3619/front_en.3.400.jpg,2620.0,22.7,18.7,3.33,51.3,4.67,0.055,10.7,0.0,1.0,8.0
8901030869136,,,,,,,,https://images.openfoodfacts.org/images/products/890/103/086/9136/front_en.6.400.jpg,,,,,,,,,,,5.0
8090011773521,HYOXY MINERAL WATER 500 ML 10 RS.,Hyoxy,Beverages,,[],,unknown,,,,,,,,,,,0.0,5.0
8901491003490,,Doritos,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/149/100/3490/front_en.3.400.jpg,,,,,,,,,,0.0,5.0
8906032990512,,,,,,,,https://images.openfoodfacts.org/images/products/890/603/299/0512/front_en.3.400.jpg,,,,,,,,,,,5.0
8902080304561,7 up,,en:sodas,"['en:e211', 'en:e296', 'en:e330', 'en:e331']",[],"CARBONATED WATER, SUGAR, ACIDITY REGULATORS (330, 331,296), FLAVOUR (NATURAL FLAVOURING SUBSTANCES), PRESERVATIVE (211).",unknown,https://images.openfoodfacts.org/images/products/890/208/030/4561/front_en.6.400.jpg,,,,,,,,,4.0,0.0,5.0
8901207048470,Dabur Chyawanprash,Dabur,,,[],,unknown,https://images.openfoodfacts.org/images/products/890/120/704/8470/front_en.5.400.jpg,,,,,,,,,,0.0,5.0
8901071731072,Chocolate Syrup,Hershey's,water,,[],,unknown,https://images.openfoodfacts.org/images/products/890/107/173/1072/front_en.3.400.jpg,1160.0,1.27,66.6,,0.56,,,,,0.0,5.0
8905950000198,,,,,,,,https://images.openfoodfacts.org/images/products/890/595/000/0198/front_en.3.400.jpg,,,,,,,,,,,5.0
8901542002458,,,,,,,,https://images.openfoodfacts.org/images/products/890/154/200/2458/front_en.5.400.jpg,,,,,,,,,,,5.0
8904335601869,Yoga bar 23G protein muesli + choco almond + cranberry,Yoga bar,,"['en:e322', 'en:e322i']","['en:milk', 'en:nuts', 'en:soybeans', 'en:contains-added-natural-flavour-rosemary-extractand-chocolate']","Whole Grains 48% (Rolled Oats, Brown Rice Flakes, Quinoa Flakes), Protein Blend (Soy and Whey Protein Isolate), Dehydrated Fruits, Nuts and Seeds 17% (Dates, Cranberry, Raisins, Almonds, Pumpkin and Chia Seeds), Dark Chocolate (Cocoa, Cocoa Butter, Sugar, Sunflower Lecithin), Jaggery, Rice Bran Oil, Probiotics (Bacillus Coagulans SNZ1969, 150 million CFU Per Serve).Contains Added Natural Flavour: Rosemary Extract
and Chocolate.",unknown,https://images.openfoodfacts.org/images/products/890/433/560/1869/front_en.3.400.jpg,1680.0,23.0,57.0,18.2,10.8,3.8,0.27,7.0,2.0,4.0,7.0
